Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.000000000,0.01688166,-0.06346371,0.05945278,-0.4814832,0.1124245,0.8503827,25.94837,-44.8856,-27.50612,1001.625
0.002497196,0.01687635,-0.003884472,-0.06296629,-0.4854589,0.1156151,0.8412867,25.94837,-44.8856,-27.50612,1001.625
0.004994392,-0.1690152,0.05567605,-0.06294651,-0.4809624,0.1104615,0.8480081,25.94837,-44.8856,-27.50612,1001.625
0.007491588,0.01692415,-0.1230193,-0.1241269,-0.481031,0.1143568,0.8489357,25.94837,-44.8856,-27.50612,1001.625
0.009989261,0.2028051,-0.3016586,-0.001687542,-0.4814667,0.111441,0.8494344,25.94837,-44.8856,-27.50612,1001.625
0.012486458,0.07881721,0.05579197,-0.06288721,-0.4830532,0.1182036,0.849387,25.94837,-44.8856,-27.50612,1001.625
0.014983654,-0.04513173,0.1748931,-0.1240677,-0.4785874,0.1138274,0.841773,25.94837,-44.8856,-27.50612,1001.625
0.017480850,-0.04511755,0.1152788,-0.1240287,-0.4775799,0.1124634,0.8470365,25.94837,-44.8856,-27.50612,1001.625
0.019978523,-0.2309897,-0.003876016,-0.1239897,-0.4809459,0.1094781,0.8470598,25.94837,-44.8856,-27.50612,1001.625
0.022475719,-0.1069929,-0.003874801,-0.06275056,-0.4804823,0.1109638,0.8484819,25.94837,-44.8856,-27.50612,1001.625
0.024972915,-0.1689214,-0.06343289,-0.2463315,-0.4828028,0.1041107,0.8480545,25.94837,-44.8856,-27.50612,1001.625
0.027470112,0.01701796,-0.003853656,-0.1850539,-0.4838239,0.1058891,0.8375338,25.94837,-44.8856,-27.50612,1001.625
0.029967785,0.01701261,-0.003852449,-0.06259532,-0.4873461,0.1122533,0.8470438,25.94837,-44.8856,-27.50612,1001.625
0.032464981,-0.04495482,0.1152674,-0.001375459,-0.4819824,0.112867,0.8479915,25.94837,-44.8856,-27.50612,1001.625
0.034961700,-0.1069028,-0.06344675,-0.1849756,-0.4790071,0.1099216,0.8408458,25.94837,-44.8856,-27.50612,1001.625
0.037458896,-0.04490711,-0.2421047,-0.1849175,-0.4785186,0.1105463,0.8503944,25.94837,-44.8856,-27.50612,1001.625
0.039956093,0.01706909,-0.1824694,-0.1236592,-0.4789909,0.1095459,0.8489687,25.94837,-44.8856,-27.50612,1001.626
0.042453289,-0.2307846,-0.182412,-0.1236204,-0.47952,0.1120005,0.8518175,25.94837,-44.8856,-27.50612,1001.626
0.044950962,-0.04482586,-0.1227954,-0.1847817,-0.4824416,0.1114457,0.8513456,25.94837,-44.8856,-27.50612,1001.626
0.047448158,-0.168736,-0.1823162,-0.06232329,-0.48,0.1114983,0.8513438,25.95453,-45.26299,-27.94617,1001.626
0.049945354,-0.1686829,-0.003580973,-0.1847041,-0.4834269,0.11191,0.8513429,25.95453,-45.26299,-27.94617,1001.626
0.052442550,-0.1066679,0.05597945,-0.1846461,-0.4858195,0.1089006,0.848022,25.95453,-45.26299,-27.94617,1001.626
0.054940223,0.07925192,-0.003597431,-0.06218768,-0.482456,0.1118473,0.8451331,25.95453,-45.26299,-27.94617,1001.626
0.057437420,-0.04469716,-0.1227149,-0.0009679343,-0.4794819,0.1094967,0.8461034,25.95453,-45.26299,-27.94617,1001.626
0.059934616,-0.1686073,-0.06311705,-0.06216783,-0.4794627,0.1085519,0.8480209,25.95453,-45.26299,-27.94617,1001.626
0.062431812,-0.1065922,-0.3013344,0.0602521,-0.4760844,0.1111034,0.851822,25.95453,-45.26299,-27.94617,1001.626
0.064929485,-0.1065587,-0.1821212,0.06023317,-0.477194,0.1183232,0.8489051,25.95453,-45.26299,-27.94617,1001.626
0.067426681,-0.2304495,0.1752919,-0.1845866,-0.483029,0.116722,0.847487,25.95453,-45.26299,-27.94617,1001.626
0.069923877,-0.168415,0.1156775,-0.2457288,-0.4781,0.113825,0.8408175,25.95453,-45.26299,-27.94617,1001.626
0.072421074,-0.2922862,-0.1225961,-0.1232512,-0.4820276,0.1152677,0.8460637,25.95453,-45.26299,-27.94617,1001.626
0.074918747,-0.1682702,-0.06299824,-0.1232124,-0.4781405,0.1169043,0.8532147,25.95453,-45.26299,-27.94617,1001.626
0.077415943,0.0176689,0.05614015,-0.3067743,-0.4824672,0.1129081,0.8518128,25.95453,-45.26299,-27.94617,1001.626
0.079913139,0.07962544,-0.06299609,-0.1842776,-0.48243,0.1103914,0.8451435,25.95453,-45.26299,-27.94617,1001.626
0.082410335,-0.1062858,0.0561423,0.06058113,-0.4819029,0.1085187,0.8494555,25.95453,-45.26299,-27.94617,1001.626
0.084908008,-0.1062524,0.115684,-0.1230385,-0.4785391,0.1114718,0.8470441,25.95453,-45.26299,-27.94617,1001.626
0.087405205,-0.1681812,0.1752069,-0.1229998,-0.477096,0.1124095,0.8422599,25.95453,-45.26299,-27.94617,1001.626
0.089902401,-0.2300904,0.05603328,-0.1841614,-0.4775547,0.1109946,0.8460916,25.95453,-45.26299,-27.94617,1001.626
0.092399597,-0.2300181,-0.1226622,-0.1841035,-0.4805652,0.1158748,0.8527459,25.95453,-45.26299,-27.94617,1001.626
0.094897270,-0.291908,-0.1226237,-0.2452459,-0.4829973,0.1147357,0.8441575,25.95453,-45.26299,-27.94617,1001.626
0.097394466,-0.3537783,0.05609273,-0.3063691,-0.4824647,0.1123326,0.8451297,26.69606,-45.60753,-27.49481,1001.626
0.099891662,-0.3536672,-0.06304349,-0.1838724,-0.479984,0.1105083,0.8499179,26.69606,-45.60753,-27.49481,1001.626
0.102388859,-0.2296319,-0.003464386,-0.1838147,-0.4780612,0.1119418,0.8451298,26.69606,-45.60753,-27.49481,1001.626
0.104886532,-0.3534839,0.056096,-0.1225567,-0.4780355,0.1110936,0.8542115,26.69606,-45.60753,-27.49481,1001.626
0.107383728,-0.415335,0.1156377,-0.1225182,-0.4790561,0.1128785,0.8441684,26.69606,-45.60753,-27.49481,1001.626
0.109880924,-0.2912803,0.1156014,-0.1224797,-0.4839314,0.1122753,0.8432202,26.69606,-45.60753,-27.49481,1001.626
0.112378120,-0.2292267,0.2346836,-0.1224412,-0.4785783,0.1133485,0.8422541,26.69606,-45.60753,-27.49481,1001.626
0.114875793,-0.415041,0.05593201,-0.2448032,-0.4819773,0.1123302,0.844174,26.69606,-45.60753,-27.49481,1001.626
0.117372989,-0.1670622,-0.003644861,-0.1223259,-0.4804654,0.1099868,0.8480112,26.69606,-45.60753,-27.49481,1001.626
0.119870186,-0.1670097,0.2941528,-0.06108723,-0.478951,0.1070678,0.8451652,26.69606,-45.60753,-27.49481,1001.626
0.122367382,-0.3528436,0.1749418,-0.1222682,-0.4790035,0.1099732,0.8446668,26.69606,-45.60753,-27.49481,1001.626
0.124865055,-0.1668464,0.05576821,-0.1222298,-0.4858738,0.1117802,0.8456132,26.69606,-45.60753,-27.49481,1001.626
0.127362251,-0.166794,0.11531,0.000208974,-0.4838597,0.1084251,0.845636,26.69606,-45.60753,-27.49481,1001.626
