Packet number,Error code,Error message
15822,6,Bluetooth transmit buffer overrun.
15931,6,Bluetooth transmit buffer overrun.
16040,6,Bluetooth transmit buffer overrun.
16149,6,Bluetooth transmit buffer overrun.
16258,6,Bluetooth transmit buffer overrun.
16367,6,Bluetooth transmit buffer overrun.
16476,6,Bluetooth transmit buffer overrun.
16585,6,Bluetooth transmit buffer overrun.
16694,6,Bluetooth transmit buffer overrun.
16803,6,Bluetooth transmit buffer overrun.
16912,6,Bluetooth transmit buffer overrun.
17021,6,Bluetooth transmit buffer overrun.
17130,6,Bluetooth transmit buffer overrun.
17239,6,Bluetooth transmit buffer overrun.
17348,6,Bluetooth transmit buffer overrun.
17457,6,Bluetooth transmit buffer overrun.
17566,6,Bluetooth transmit buffer overrun.
17675,6,Bluetooth transmit buffer overrun.
17784,6,Bluetooth transmit buffer overrun.
17893,6,Bluetooth transmit buffer overrun.
18002,6,Bluetooth transmit buffer overrun.
18111,6,Bluetooth transmit buffer overrun.
18220,6,Bluetooth transmit buffer overrun.
18329,6,Bluetooth transmit buffer overrun.
18438,6,Bluetooth transmit buffer overrun.
18547,6,Bluetooth transmit buffer overrun.
18656,6,Bluetooth transmit buffer overrun.
18765,6,Bluetooth transmit buffer overrun.
18874,6,Bluetooth transmit buffer overrun.
18983,6,Bluetooth transmit buffer overrun.
19092,6,Bluetooth transmit buffer overrun.
19201,6,Bluetooth transmit buffer overrun.
19310,6,Bluetooth transmit buffer overrun.
19419,6,Bluetooth transmit buffer overrun.
19528,6,Bluetooth transmit buffer overrun.
19637,6,Bluetooth transmit buffer overrun.
19746,6,Bluetooth transmit buffer overrun.
19855,6,Bluetooth transmit buffer overrun.
19964,6,Bluetooth transmit buffer overrun.
20073,6,Bluetooth transmit buffer overrun.
20182,6,Bluetooth transmit buffer overrun.
20291,6,Bluetooth transmit buffer overrun.
20400,6,Bluetooth transmit buffer overrun.
20509,6,Bluetooth transmit buffer overrun.
20618,6,Bluetooth transmit buffer overrun.
20727,6,Bluetooth transmit buffer overrun.
20836,6,Bluetooth transmit buffer overrun.
20945,6,Bluetooth transmit buffer overrun.
21054,6,Bluetooth transmit buffer overrun.
21163,6,Bluetooth transmit buffer overrun.
21272,6,Bluetooth transmit buffer overrun.
21381,6,Bluetooth transmit buffer overrun.
21490,6,Bluetooth transmit buffer overrun.
21599,6,Bluetooth transmit buffer overrun.
21708,6,Bluetooth transmit buffer overrun.
21817,6,Bluetooth transmit buffer overrun.
21926,6,Bluetooth transmit buffer overrun.
22035,6,Bluetooth transmit buffer overrun.
22144,6,Bluetooth transmit buffer overrun.
22253,6,Bluetooth transmit buffer overrun.
22362,6,Bluetooth transmit buffer overrun.
22471,6,Bluetooth transmit buffer overrun.
22580,6,Bluetooth transmit buffer overrun.
22689,6,Bluetooth transmit buffer overrun.
22798,6,Bluetooth transmit buffer overrun.
22907,6,Bluetooth transmit buffer overrun.
23016,6,Bluetooth transmit buffer overrun.
23125,6,Bluetooth transmit buffer overrun.
23234,6,Bluetooth transmit buffer overrun.
23343,6,Bluetooth transmit buffer overrun.
23452,6,Bluetooth transmit buffer overrun.
23561,6,Bluetooth transmit buffer overrun.
23670,6,Bluetooth transmit buffer overrun.
23779,6,Bluetooth transmit buffer overrun.
23888,6,Bluetooth transmit buffer overrun.
23997,6,Bluetooth transmit buffer overrun.
24106,6,Bluetooth transmit buffer overrun.
24215,6,Bluetooth transmit buffer overrun.
24324,6,Bluetooth transmit buffer overrun.
24433,6,Bluetooth transmit buffer overrun.
24542,6,Bluetooth transmit buffer overrun.
24651,6,Bluetooth transmit buffer overrun.
24760,6,Bluetooth transmit buffer overrun.
24869,6,Bluetooth transmit buffer overrun.
24978,6,Bluetooth transmit buffer overrun.
25087,6,Bluetooth transmit buffer overrun.
25196,6,Bluetooth transmit buffer overrun.
25285,6,Bluetooth transmit buffer overrun.
25389,6,Bluetooth transmit buffer overrun.
25498,6,Bluetooth transmit buffer overrun.
25607,6,Bluetooth transmit buffer overrun.
25716,6,Bluetooth transmit buffer overrun.
25825,6,Bluetooth transmit buffer overrun.
25934,6,Bluetooth transmit buffer overrun.
26043,6,Bluetooth transmit buffer overrun.
26152,6,Bluetooth transmit buffer overrun.
26261,6,Bluetooth transmit buffer overrun.
26370,6,Bluetooth transmit buffer overrun.
26479,6,Bluetooth transmit buffer overrun.
26588,6,Bluetooth transmit buffer overrun.
26697,6,Bluetooth transmit buffer overrun.
26806,6,Bluetooth transmit buffer overrun.
26915,6,Bluetooth transmit buffer overrun.
27024,6,Bluetooth transmit buffer overrun.
27133,6,Bluetooth transmit buffer overrun.
27242,6,Bluetooth transmit buffer overrun.
27351,6,Bluetooth transmit buffer overrun.
27460,6,Bluetooth transmit buffer overrun.
27569,6,Bluetooth transmit buffer overrun.
27678,6,Bluetooth transmit buffer overrun.
27787,6,Bluetooth transmit buffer overrun.
27896,6,Bluetooth transmit buffer overrun.
28005,6,Bluetooth transmit buffer overrun.
28114,6,Bluetooth transmit buffer overrun.
28223,6,Bluetooth transmit buffer overrun.
28332,6,Bluetooth transmit buffer overrun.
28441,6,Bluetooth transmit buffer overrun.
28550,6,Bluetooth transmit buffer overrun.
28659,6,Bluetooth transmit buffer overrun.
28768,6,Bluetooth transmit buffer overrun.
28877,6,Bluetooth transmit buffer overrun.
28986,6,Bluetooth transmit buffer overrun.
