Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
242,-0.5625,0.4375,0.25,0.01953125,-0.005371094,-1.045898,0.1557617,-0.8212891,0.05322266
246,-0.375,0.5625,0,0.01953125,-0.001464844,-1.041992,0.1572266,-0.8198242,0.05175781
250,-0.3125,0.5625,0.125,0.015625,0.02148438,-1.03418,0.1572266,-0.8198242,0.05175781
254,-0.3125,0.75,0.1875,0.015625,-0.001464844,-1.038086,0.1557617,-0.8183594,0.05419922
258,-0.5625,0.5,-0.0625,0.01953125,-0.001464844,-1.038086,0.1572266,-0.8198242,0.05419922
262,-0.5625,0.6875,-0.0625,0.01953125,-0.005371094,-1.053711,0.1572266,-0.8198242,0.05419922
266,-0.5625,0.875,-0.0625,0.015625,0.005859375,-1.041992,0.1547852,-0.8198242,0.05419922
270,-0.6875,0.875,-0.0625,0.015625,-0.001464844,-1.045898,0.1547852,-0.8222656,0.05322266
274,-0.5,1.125,0,0.0234375,-0.001464844,-1.03418,0.1547852,-0.8222656,0.05322266
278,-0.8125,0.875,-0.0625,0.0234375,0.001953125,-1.041992,0.1572266,-0.8198242,0.05322266
282,-0.625,1.0625,0,0.01953125,-0.005371094,-1.049805,0.1572266,-0.8183594,0.05419922
286,-0.5625,1.0625,-0.0625,0.015625,0.001953125,-1.041992,0.1572266,-0.8183594,0.05419922
290,-0.625,0.875,0,0.01953125,0.001953125,-1.03418,0.1572266,-0.8198242,0.05419922
294,-0.6875,0.8125,-0.1875,0.01953125,0.001953125,-1.038086,0.1557617,-0.8198242,0.05322266
298,-0.5,0.75,0,0.01953125,-0.001464844,-1.030273,0.1557617,-0.8198242,0.05322266
302,-0.4375,0.5,-0.1875,0.015625,0.001953125,-1.030273,0.1557617,-0.8183594,0.05322266
306,-0.4375,0.5625,0,0.01953125,0.001953125,-1.022949,0.1572266,-0.8198242,0.05175781
310,-0.4375,0.5,-0.1875,0.01953125,0.001953125,-1.026855,0.1572266,-0.8198242,0.05175781
314,-0.3125,0.4375,0,0.01953125,0.005859375,-1.026855,0.1572266,-0.8183594,0.05322266
318,-0.0625,0.0625,0,0.01953125,0.001953125,-1.03418,0.1572266,-0.8198242,0.05175781
322,-0.125,0.25,-0.0625,0.015625,0.005859375,-1.038086,0.1572266,-0.8198242,0.05175781
326,-0.0625,0.1875,0.0625,0.01171875,0.009765625,-1.03418,0.1547852,-0.8222656,0.05419922
330,-0.125,0,0,0.015625,0.001953125,-1.045898,0.1572266,-0.8212891,0.05322266
334,0.125,0.0625,0,0.01953125,-0.001464844,-1.038086,0.1572266,-0.8212891,0.05322266
338,0.125,0.1875,-0.0625,0.015625,0.005859375,-1.038086,0.1547852,-0.8198242,0.05419922
342,0,0.0625,0,0.015625,-0.001464844,-1.038086,0.1557617,-0.8173828,0.05322266
347,0.375,0.125,0.125,0.015625,0.01367188,-1.030273,0.1586914,-0.8173828,0.05175781
351,-0.125,-0.1875,0,0.0234375,0.005859375,-1.030273,0.1586914,-0.8173828,0.05175781
355,-0.0625,-0.1875,0.0625,0.015625,-0.001464844,-1.038086,0.1572266,-0.8173828,0.05029297
359,0.125,0,0.125,0.015625,-0.001464844,-1.038086,0.1572266,-0.8212891,0.05029297
363,0.1875,0.125,-0.0625,0.0078125,0.001953125,-1.038086,0.1572266,-0.8212891,0.05029297
367,0,0.0625,0,0.015625,0.005859375,-1.03418,0.1557617,-0.8183594,0.05322266
371,0.125,-0.125,-0.125,0.015625,0.005859375,-1.041992,0.1557617,-0.8222656,0.05175781
375,-0.1875,0,-0.0625,0.0234375,-0.001464844,-1.03418,0.1557617,-0.8222656,0.05175781
379,0.0625,-0.0625,-0.0625,0.015625,-0.005371094,-1.03418,0.1572266,-0.8198242,0.05175781
383,-0.0625,0.0625,0,0.01953125,0.001953125,-1.03418,0.1547852,-0.8183594,0.05566406
387,0,0.0625,0.1875,0.02734375,0.001953125,-1.026855,0.1547852,-0.8183594,0.05566406
