Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.159863949,0.378691,-0.1243573,0.1100352,-0.3314873,0.4372564,0.8279149,4.844455,6.186212,-38.76074,993.9634
0.164860249,0.6262431,-0.06470121,-0.01247277,-0.332773,0.4269886,0.8246453,4.844455,6.186212,-38.76074,993.9634
0.167362213,0.5021222,-0.1242402,0.1711318,-0.3294278,0.430893,0.8207941,4.844455,6.186212,-38.76074,993.9634
0.172353268,0.5637688,0.05449705,0.1098433,-0.3359551,0.4409927,0.8240696,4.844455,6.186212,-38.76074,993.9634
0.177349567,0.3774894,-0.1241777,-0.01260692,-0.3378133,0.435606,0.8236313,5.566526,6.92284,-39.66805,993.9634
0.179852009,0.5632571,0.1140985,0.04859725,-0.3402306,0.4340718,0.8217331,5.566526,6.92284,-39.66805,993.9634
0.184842587,0.3770365,-0.005073018,0.2933291,-0.3338616,0.4332893,0.8255562,5.566526,6.92284,-39.66805,993.9634
0.187340736,0.5628043,-0.005071424,0.2932369,-0.3275104,0.433471,0.8288949,5.566526,6.92284,-39.66805,993.9634
0.192336559,0.6243739,-0.1241681,0.2318525,-0.3335478,0.4429929,0.8245315,5.566526,6.92284,-39.66805,993.9634
0.194834709,0.5622156,-0.1836884,0.1093793,-0.3325494,0.4421077,0.8293139,5.566526,6.92284,-39.66805,993.9634
0.199830055,0.5618235,0.1142235,0.2317109,-0.3315142,0.4386994,0.8269492,5.566526,6.92284,-39.66805,993.9634
0.204825878,0.56149,-0.1240668,0.1092227,-0.3353256,0.4332707,0.8265126,5.566526,6.92284,-39.66805,993.9634
0.207323551,0.5613136,0.1142094,0.1703885,-0.3325247,0.4406325,0.8278914,5.566526,6.92284,-39.66805,993.9634
0.212319851,0.4989989,-0.1836027,0.1090428,-0.3344412,0.4380673,0.8207459,5.566526,6.92284,-39.66805,993.9634
0.214818955,0.6847284,0.1738108,0.1090086,-0.3348208,0.4322977,0.8255638,5.566526,6.92284,-39.66805,993.9634
0.219812870,0.6223946,-0.1240949,-0.07467972,-0.3368119,0.4341518,0.8222082,5.566526,6.92284,-39.66805,993.9634
0.222311020,0.7461232,-0.1240559,-0.01345606,-0.3401767,0.4311858,0.8236643,5.566526,6.92284,-39.66805,993.9634
0.227306843,0.5597877,0.05464377,0.2312955,-0.3315051,0.4382206,0.8274303,5.940703,6.578872,-38.76946,993.9634
0.232302189,0.497435,0.05459073,0.16995,-0.3319192,0.4337844,0.8231632,5.940703,6.578872,-38.76946,993.9634
0.234800339,0.6212029,0.05457358,0.1698966,-0.335333,0.4337753,0.827942,5.940703,6.578872,-38.76946,993.9634
0.239796162,0.4968495,-0.06459802,0.2310285,-0.3348264,0.4328281,0.8289037,5.940703,6.578872,-38.76946,993.9615
0.242294312,0.4347313,0.05454088,0.2921562,-0.3328685,0.4323269,0.8246073,5.940703,6.578872,-38.76946,993.9615
0.247289658,0.6822482,-0.06457457,0.1084105,-0.3333789,0.4338302,0.8288957,5.940703,6.578872,-38.76946,993.9615
0.249787330,0.6200718,-0.004994977,-0.01402398,-0.3358373,0.4347548,0.8293683,5.940703,6.578872,-38.76946,993.9615
0.254783630,0.5576812,0.2927859,-0.0140344,-0.3334136,0.4357714,0.8288819,5.940703,6.578872,-38.76946,993.9615
0.257281303,0.4955439,0.05445677,0.1083704,-0.3334579,0.438185,0.8279095,5.940703,6.578872,-38.76946,993.9615
0.262276649,0.5571752,0.2331192,0.1694833,-0.3388008,0.436038,0.8212405,5.940703,6.578872,-38.76946,993.9615
0.267272472,0.6807104,-0.005227059,0.1081959,-0.3388359,0.4379728,0.8207491,5.940703,6.578872,-38.76946,993.9615
0.269770622,0.6804966,-0.124344,0.1081619,-0.3329201,0.4352451,0.8250641,5.940703,6.578872,-38.76946,993.9615
0.274766445,0.4942023,-0.1838439,0.04689372,-0.3319188,0.4337909,0.8236408,5.573179,6.570948,-38.76869,993.9615
0.277264595,0.494047,0.05445104,0.04687899,-0.3324245,0.4347509,0.8236343,5.573179,6.570948,-38.76869,993.9615
0.282259941,0.5556793,-0.005123753,0.1692307,-0.3349402,0.4391241,0.8279036,5.573179,6.570948,-38.76869,993.9556
0.284757614,0.5555047,0.1139965,0.3527781,-0.3359295,0.4395304,0.8236023,5.573179,6.570948,-38.76869,993.9556
0.289753914,0.4931937,0.1735029,0.1078134,-0.3378251,0.4360462,0.8202846,5.573179,6.570948,-38.76869,993.9556
0.294749737,0.4928838,-0.005227912,0.04650701,-0.3285857,0.4387431,0.8255142,5.573179,6.570948,-38.76869,993.9556
0.297246933,0.6786152,0.05433303,-0.0147078,-0.3364087,0.439041,0.8240837,5.573179,6.570948,-38.76869,993.9556
0.302243233,0.7401705,-0.1243603,0.1076442,-0.3353751,0.4362211,0.8293576,5.573179,6.570948,-38.76869,993.9556
0.304740906,0.6779758,0.05435668,-0.07599027,-0.3334205,0.4362825,0.830789,5.573179,6.570948,-38.76869,993.9556
0.309737205,0.6775694,-0.00519935,0.1076389,-0.3333256,0.4303236,0.8208005,5.573179,6.570948,-38.76869,993.9556
0.312234402,0.7393186,0.05436158,-0.01479537,-0.3340014,0.4410412,0.8245457,5.573179,6.570948,-38.76869,993.9556
0.317230224,0.6149884,-0.005231868,0.1075951,-0.3388428,0.4384839,0.8226561,5.573179,6.570948,-38.76869,993.9556
0.319728374,0.4289089,0.05432907,0.1687615,-0.3359533,0.4410185,0.82598,5.573179,6.570948,-38.76869,993.9556
0.324724197,0.5525442,-0.2434641,0.1074553,-0.334461,0.4396135,0.8274221,5.573344,6.579445,-38.32222,993.9598
0.339711189,0.4895803,0.1141258,0.2296341,-0.335846,0.4352401,0.8293648,5.573344,6.579445,-38.32222,993.9598
0.344706535,0.5512348,0.1140728,-0.01529175,-0.3363626,0.4366532,0.8269667,5.573344,6.579445,-38.32222,993.9598
0.347204685,0.6130238,-0.1242002,0.1683137,-0.3374004,0.4400228,0.8264656,5.573344,6.579445,-38.32222,993.9598
0.352200508,0.3648486,-0.06454418,0.2293889,-0.3349475,0.4396288,0.829333,5.573344,6.579445,-38.32222,993.9598
0.357196808,0.5504668,0.1737149,0.229264,-0.333905,0.4357158,0.8255389,5.573344,6.579445,-38.32222,993.9598
0.359694481,0.4883318,0.114101,-0.01560881,-0.3334777,0.4397311,0.8345857,5.573344,6.579445,-38.32222,993.9598
0.364689827,0.3641202,-0.005051874,0.1068014,-0.335436,0.439004,0.8197844,5.573344,6.579445,-38.32222,993.958
0.367187977,0.425968,0.1736276,0.1067678,-0.3364474,0.4409242,0.8197713,5.573344,6.579445,-38.32222,993.958
0.372183800,0.4876625,0.173556,0.167901,-0.3343383,0.4322245,0.8193545,5.573344,6.579445,-38.32222,993.958
0.374681949,0.3635851,0.05438284,-0.01575238,-0.3368836,0.4380019,0.8197924,5.579337,6.193564,-39.20873,993.958
0.379677296,0.4872808,0.05432997,0.1678581,-0.3359056,0.4380423,0.8212246,5.579337,6.193564,-39.20873,993.958
0.384673118,0.5489368,0.1138738,0.2901146,-0.3344216,0.437129,0.8231409,5.579337,6.193564,-39.20873,993.958
0.387170791,0.4868023,0.05427877,0.2288233,-0.3320842,0.4430051,0.8230975,5.579337,6.193564,-39.20873,993.958
0.392167091,0.4865354,0.05424467,0.2898797,-0.3369014,0.4389661,0.8193079,5.579337,6.193564,-39.20873,993.958
0.394664287,0.4863825,0.1733462,0.3509889,-0.3339576,0.4386212,0.8250406,5.579337,6.193564,-39.20873,993.958
0.399662971,0.4860964,-0.1840249,0.1059868,-0.3315191,0.4386286,0.8216954,5.579337,6.193564,-39.20873,993.958
0.402158260,0.5479058,0.0542701,0.1671537,-0.3329497,0.4366494,0.8212328,5.579337,6.193564,-39.20873,993.958
0.407154083,0.5475616,0.1733359,0.1670871,-0.3394392,0.4448531,0.8278654,5.579337,6.193564,-39.20873,993.958
0.409651756,0.4854275,0.2328407,0.1058344,-0.3340226,0.442568,0.8297892,5.579337,6.193564,-39.20873,993.958
0.414647579,0.4851226,0.0540914,0.1669681,-0.3344772,0.4399892,0.8192992,5.579337,6.193564,-39.20873,993.958
0.419643402,0.4847789,0.113598,-0.01673736,-0.3388542,0.4389305,0.8197869,5.579337,6.193564,-39.20873,993.958
0.422141552,0.4226644,-0.06511559,0.1668685,-0.3334923,0.4395185,0.8188244,5.579337,6.193564,-39.20873,993.958
0.427136898,0.4224184,0.232647,0.2891449,-0.3315786,0.442045,0.8231041,5.199332,6.931908,-38.77435,993.958
0.429634571,0.5462099,-0.06522261,0.1666536,-0.3324258,0.4347316,0.8222015,5.199332,6.931908,-38.77435,993.958
0.434630871,0.6078094,0.1134776,0.1665489,-0.3354289,0.4391071,0.8274263,5.199332,6.931908,-38.77435,993.958
0.437133312,0.35977,-0.005676694,0.1052964,-0.3339177,0.4361431,0.821237,5.199332,6.931908,-38.77435,993.958
0.442123890,0.6073924,0.1134081,-0.07835113,-0.3359824,0.4424293,0.8226263,5.199332,6.931908,-38.77435,993.958
0.444622040,0.4832774,0.05381312,-0.07832652,-0.3339584,0.4386083,0.8240854,5.199332,6.931908,-38.77435,993.958
0.449617863,0.4210506,0.351501,0.1053233,-0.3368753,0.4375102,0.8193182,5.199332,6.931908,-38.77435,993.958
0.454613685,0.4827677,0.1726958,0.04405693,-0.3299912,0.4352952,0.8241067,5.199332,6.931908,-38.77435,993.958
0.457111359,0.4206539,0.1130822,0.1664435,-0.3354149,0.4386992,0.8331612,5.199332,6.931908,-38.77435,993.958
0.462107181,0.2964849,-0.06562927,0.105158,-0.3344086,0.4360939,0.8183716,5.199332,6.931908,-38.77435,993.958
0.464604854,0.420316,0.1726286,0.1051249,-0.3348195,0.4323171,0.8269967,5.199332,6.931908,-38.77435,993.958
0.469601154,0.419974,0.1130169,0.0438779,-0.3354078,0.4375803,0.8221829,5.199332,6.931908,-38.77435,993.958
0.472098827,0.2959179,0.1725407,0.1662645,-0.3328841,0.4333232,0.8265108,5.199332,6.931908,-38.77435,993.958
0.477094173,0.5435609,0.2319729,0.1661601,-0.3334875,0.4395894,0.8240781,5.947026,6.209985,-38.76303,993.958
0.482090473,0.4192953,-0.006372586,0.04363605,-0.3374191,0.4409741,0.8250258,5.947026,6.209985,-38.76303,993.9598
0.484588146,0.6670119,-0.006370585,0.04362234,-0.3304726,0.4347736,0.8222,5.947026,6.209985,-38.76303,993.9598
0.489584446,0.5427271,0.2318332,0.1047759,-0.3373258,0.4356036,0.8226758,5.947026,6.209985,-38.76303,993.9598
