Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.000000000,-0.1841998,0.1245899,0.106622,-0.4941604,0.1377473,0.8401785,2.727694,18.76908,-41.14589,1001.479
0.002497196,-0.3700861,0.06503063,-0.1381788,-0.495638,0.1381431,0.8358776,2.727694,18.76908,-41.14589,1001.479
0.004994392,-0.2461619,0.06503063,-0.07697859,-0.4893018,0.1387198,0.8325261,2.727694,18.76908,-41.14589,1001.479
0.007491112,-0.06027564,0.1245899,-0.199379,-0.4897323,0.1358813,0.8387562,2.727694,18.76908,-41.14589,1001.479
0.009988308,-0.1841998,0.06503063,-0.1381788,-0.4922477,0.1396467,0.8339542,2.727694,18.76908,-41.14589,1001.479
0.012485504,-0.1841998,0.1245899,-0.199379,-0.4931627,0.1362415,0.8349344,2.727694,18.76908,-41.14589,1001.479
0.014983177,-0.308124,0.1841492,-0.1381788,-0.4911976,0.1358434,0.8382797,2.727694,18.76908,-41.14589,1001.479
0.017480373,-0.308124,0.06503063,-0.01577839,-0.4902684,0.1382328,0.8339631,2.727694,18.76908,-41.14589,1001.479
0.019977570,0.06364854,0.06503063,-0.07697859,-0.4961568,0.139524,0.8310913,2.727694,18.76908,-41.14589,1001.479
0.022474766,-0.06027564,0.06503063,-0.199379,-0.4912599,0.1386069,0.8272737,2.727694,18.76908,-41.14589,1001.479
0.024971485,-0.1841998,0.06503063,-0.3217794,-0.4922477,0.1396467,0.8339542,2.727694,18.76908,-41.14589,1001.479
0.027469158,-0.1841998,0.005471334,-0.01577839,-0.4902497,0.1372816,0.8354029,2.727694,18.76908,-41.14589,1001.479
0.029966354,-0.308124,0.005471334,-0.07697859,-0.49116,0.1333331,0.832088,2.727694,18.76908,-41.14589,1001.479
