Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.000000000,-0.3405428,-0.06630601,0.2536058,-0.4847706,0.022999,0.849112,10.83258,28.88552,-32.78669,1001.514
0.002497196,-0.2784737,-0.1854038,0.008725353,-0.4808098,0.02020347,0.851518,10.83258,28.88552,-32.78669,1001.514
0.004993916,-0.2164242,-0.06622693,0.06992281,-0.4802997,0.01930781,0.8563008,10.83258,28.88552,-32.78669,1001.514
0.007491112,0.1554164,-0.006646827,0.131101,-0.4828681,0.02597213,0.8505228,10.83258,28.88552,-32.78669,1001.514
0.009988785,0.2173297,-0.1853226,0.008659457,-0.4848925,0.02978671,0.848586,10.83258,28.88552,-32.78669,1001.514
0.012485504,-0.03058699,-0.1852644,0.1922573,-0.4862767,0.02542619,0.851484,10.83258,28.88552,-32.78669,1001.514
0.014982700,0.0933468,-0.1852062,0.1921969,-0.4863669,0.03084178,0.8571774,10.83258,28.88552,-32.78669,1001.514
0.017479420,-0.4023792,-0.2447073,0.06973616,-0.4839019,0.02939974,0.8543202,10.83258,28.88552,-32.78669,1001.514
0.019976616,-0.5881391,-0.1850711,-0.2362868,-0.4803261,0.02075725,0.8558127,10.83258,28.88552,-32.78669,1001.514
0.024970531,0.03177342,-0.0658737,-0.05255694,-0.485219,0.02051046,0.8453088,10.83258,28.88552,-32.78669,1001.514
0.024970531,0.03177342,-0.0658737,-0.05255694,-0.485219,0.02051046,0.8453088,10.83258,28.88552,-32.78669,1001.514
0.029964447,0.2795434,-0.06583232,0.008676278,-0.4838399,0.02602199,0.8557772,10.46522,28.88609,-32.33946,1001.514
0.029964447,0.2795434,-0.06583232,0.008676278,-0.4838399,0.02602199,0.8557772,10.46522,28.88609,-32.33946,1001.514
0.032461643,0.2174935,-0.2444895,-0.05252665,-0.482887,0.02753111,0.8581542,10.46522,28.88609,-32.33946,1001.514
0.037455559,-0.2162804,-0.1847579,0.008725778,-0.4800099,0.02988531,0.8481048,10.46522,28.88609,-32.33946,1001.512
0.039953232,-0.2162125,-0.06558129,0.06992324,-0.4823675,0.02554888,0.8543468,10.46522,28.88609,-32.33946,1001.512
0.042449951,0.03170381,0.05355791,-0.1748995,-0.48528,0.02451526,0.8543559,10.46522,28.88609,-32.33946,1001.512
0.042449951,0.03170381,0.05355791,-0.1748995,-0.48528,0.02451526,0.8543559,10.46522,28.88609,-32.33946,1001.512
0.047444343,0.09364598,-0.006016321,0.06997269,-0.4823945,0.02699189,0.8533812,10.46522,28.88609,-32.33946,1001.512
0.047444343,0.09364598,-0.006016321,0.06997269,-0.4823945,0.02699189,0.8533812,10.46522,28.88609,-32.33946,1001.512
0.052438259,0.2174919,-0.06557184,-0.1748336,-0.4804555,0.02804959,0.8567162,10.46522,28.88609,-32.33946,1001.512
0.052438259,0.2174919,-0.06557184,-0.1748336,-0.4804555,0.02804959,0.8567162,10.46522,28.88609,-32.33946,1001.512
