Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.000000000,-0.3568801,-0.07121277,-0.234054,-0.4731176,0.1092575,0.8542218,7.75434,1.38802,-25.85779,1001.573
0.002492905,-0.294918,-0.1903314,-0.234054,-0.4716024,0.1063514,0.8523309,7.75434,1.38802,-25.85779,1001.573
0.004989624,-0.3568801,-0.1307721,-0.1728538,-0.4647681,0.1070804,0.8594867,7.75434,1.38802,-25.85779,1001.573
0.007486820,-0.294918,0.04790583,-0.1116536,-0.4716162,0.1073736,0.8561449,7.75434,1.38802,-25.85779,1001.573
0.009984016,-0.294918,0.04790583,-0.1728538,-0.4746208,0.1111156,0.8503881,7.75434,1.38802,-25.85779,1001.573
0.012481213,-0.5427663,-0.01165347,-0.1116536,-0.4741464,0.1121483,0.8542017,7.75434,1.38802,-25.85779,1001.573
0.014978886,-0.6047285,0.04790583,-0.234054,-0.4735694,0.1073316,0.8561464,7.75434,1.38802,-25.85779,1001.573
0.017475128,-0.4808043,0.04790583,-0.2952542,-0.470733,0.1121509,0.8489453,7.75434,1.38802,-25.85779,1001.573
0.019972801,-0.4188422,-0.01165347,-0.1116536,-0.4702252,0.111223,0.85134,7.748182,1.765403,-25.41775,1001.573
0.022469997,-0.6047285,-0.01165347,-0.234054,-0.4726832,0.112154,0.8522902,7.748182,1.765403,-25.41775,1001.573
0.024967194,-0.5427663,0.1670244,-0.234054,-0.4745331,0.1062755,0.8513778,7.748182,1.765403,-25.41775,1001.573
0.027463913,-0.5427663,0.1074651,-0.1728538,-0.4720698,0.1054219,0.8561592,7.748182,1.765403,-25.41775,1001.573
0.029961109,-0.5427663,0.1670244,-0.05045342,-0.470638,0.1068062,0.8485057,7.748182,1.765403,-25.41775,1001.573
0.032458782,-0.4188422,0.1670244,0.01074678,-0.472171,0.1106764,0.849912,7.748182,1.765403,-25.41775,1001.573
0.034955978,-0.4808043,0.1074651,-0.1116536,-0.4711648,0.1092931,0.8537427,7.748182,1.765403,-25.41775,1001.573
0.037453175,-0.6666905,0.1074651,-0.234054,-0.4720325,0.1029052,0.8494897,7.748182,1.765403,-25.41775,1001.573
0.039949894,-0.6666905,0.1074651,-0.2952542,-0.4721623,0.1101911,0.8499155,7.748182,1.765403,-25.41775,1001.573
0.042447567,-0.4808043,0.1670244,-0.234054,-0.4770359,0.1096136,0.8508778,7.748182,1.765403,-25.41775,1001.573
0.044944286,-0.294918,0.2265837,-0.1116536,-0.4735612,0.1068398,0.8556722,7.748182,1.765403,-25.41775,1001.573
0.047441959,-0.5427663,0.04790583,-0.234054,-0.4701866,0.1087257,0.8461034,7.748182,1.765403,-25.41775,1001.575
0.049938202,-0.5427663,0.1074651,-0.3564544,-0.4711328,0.1073132,0.8508908,7.748182,1.765403,-25.41775,1001.575
0.052435875,-0.4188422,0.2265837,-0.234054,-0.4736836,0.1136211,0.8546686,7.748182,1.765403,-25.41775,1001.575
0.054933071,-0.4188422,0.1670244,-0.2952542,-0.4760562,0.1096798,0.8542204,7.748182,1.765403,-25.41775,1001.575
0.057430267,-0.294918,0.1074651,-0.234054,-0.4760475,0.1091945,0.8542239,7.748182,1.765403,-25.41775,1001.575
0.059927464,-0.4188422,0.1074651,-0.2952542,-0.4745975,0.1096211,0.8475327,7.748182,1.765403,-25.41775,1001.575
0.062424183,-0.3568801,-0.07121277,-0.234054,-0.4765892,0.1120764,0.8527706,7.748182,1.765403,-25.41775,1001.575
0.064921856,-0.4808043,-0.01165347,-0.234054,-0.4766002,0.1125295,0.8503791,7.748182,1.765403,-25.41775,1001.575
0.067419052,-0.4188422,0.1670244,-0.3564544,-0.4741448,0.1115599,0.8465633,7.748182,1.765403,-25.41775,1001.575
