Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.000000000,-0.06727377,0.7836029,0.06723025,-0.4610688,0.09228373,0.872487,42.27731,-28.9617,-33.68151,1001.443
0.002497196,0.1805957,0.5451195,0.006008934,-0.4806285,0.09207825,0.852438,42.27731,-28.9617,-33.68151,1001.443
0.004994392,0.3664253,-0.2293227,-0.1775936,-0.4710929,0.1048352,0.8470871,42.27731,-28.9617,-33.68151,1001.443
0.007491112,-0.1293866,-0.4079285,-0.1163376,-0.4603252,0.1042052,0.8552055,42.27731,-28.9617,-33.68151,1001.443
0.009988308,-0.3152322,0.06867402,-0.2999016,-0.4695579,0.1016049,0.8571402,42.27731,-28.9617,-33.68151,1001.443
0.012485504,-0.2531711,0.1282117,-0.0550066,-0.4792651,0.09797199,0.8552611,42.27731,-28.9617,-33.68151,1001.443
0.014982224,0.3045673,0.1281715,-0.05498932,-0.4690667,0.1010464,0.8509343,42.27731,-28.9617,-33.68151,1001.443
0.017479897,0.4283958,-0.2887839,-0.1161722,-0.4646494,0.1008553,0.8657407,42.27731,-28.9617,-33.68151,1001.443
0.019977093,-0.2533218,-0.2291339,-0.1773359,-0.4563847,0.1029493,0.8638101,42.27731,-28.9617,-33.68151,1001.443
0.022473812,-0.3771664,0.1878532,-0.1772802,-0.4597579,0.09986091,0.8561916,42.27731,-28.9617,-33.68151,1001.443
0.024971008,0.05668672,0.2473535,-0.05482414,-0.4670526,0.09769129,0.850957,42.27731,-28.9617,-33.68151,1001.445
0.027468205,0.3045173,0.1281572,0.006393286,-0.4646674,0.1012053,0.8557072,42.27731,-28.9617,-33.68151,1001.445
0.029965401,0.1804974,0.008998327,-0.1160091,-0.4666766,0.1046313,0.8609383,42.27731,-28.9617,-33.68151,1001.445
0.032462120,-0.2532939,0.008995503,-0.1771729,-0.4647082,0.1036705,0.8585556,41.89731,-28.22336,-33.24712,1001.445
0.034959316,-0.3151764,0.06855198,-0.05471682,-0.4626189,0.0965168,0.8648151,41.89731,-28.22336,-33.24712,1001.445
0.037456989,-0.3150774,0.00897114,-0.1771,-0.4640515,0.09389772,0.852893,41.89731,-28.22336,-33.24712,1001.445
0.039953709,0.05679411,0.06852762,-0.05464399,-0.4645654,0.09534955,0.8533606,41.89731,-28.22336,-33.24712,1001.445
0.042450905,0.2426625,0.06850609,-0.115827,-0.4656109,0.09983151,0.8633602,41.89731,-28.22336,-33.24712,1001.445
0.044948101,0.3665105,0.008925267,0.006609767,-0.463679,0.1007861,0.8590533,41.89731,-28.22336,-33.24712,1001.445
0.047444820,0.3044333,0.1876004,-0.05459251,-0.4656719,0.1026144,0.8537871,41.89731,-28.22336,-33.24712,1001.445
0.049942017,0.05648925,0.2471007,0.006624841,-0.4657013,0.1046329,0.8595047,41.89731,-28.22336,-33.24712,1001.445
0.052439213,-0.1294148,0.0683452,-0.05457744,-0.463685,0.1013101,0.8619155,41.89731,-28.22336,-33.24712,1001.445
0.054935932,-0.2532983,0.127883,0.006639906,-0.4646297,0.09869508,0.8495154,41.89731,-28.22336,-33.24712,1001.445
0.057433605,-0.2532187,0.2469615,0.00663782,-0.4646131,0.09832576,0.858116,41.89731,-28.22336,-33.24712,1001.445
0.059930801,-0.06725289,0.1873246,0.06783593,-0.464561,0.09541398,0.8581368,41.89731,-28.22336,-33.24712,1001.445
0.062427521,0.05669242,0.1872657,0.06781463,-0.4586979,0.09497742,0.8524045,41.89731,-28.22336,-33.24712,1001.445
0.064924717,-0.06724957,0.3063255,-0.05460708,-0.4645915,0.09680544,0.8533502,41.89731,-28.22336,-33.24712,1001.446
0.067421913,-0.1291905,0.06799206,0.006610274,-0.4661172,0.100171,0.8533271,41.89731,-28.22336,-33.24712,1001.446
0.069918633,-0.2530741,0.2466486,0.251409,-0.4611872,0.09790111,0.8571617,41.89731,-28.22336,-33.24712,1001.446
0.072415829,-0.1290704,0.06789321,0.1901298,-0.4656532,0.1016632,0.8552268,41.89731,-28.22336,-33.24712,1001.446
